dato;løp;distanse_km;tid;minutter;min/km
04.05.2006;Råskinnet;8,5;NA;NA;NA
04.05.2013;Råskinnet;8,5;1.17.32;78; 9,2 
22.04.2015;Sentrumsløpet;10;0.50.38;51; 5,1 
23.04.2016;Sentrumsløpet;10;0.43.57;44; 4,4 
29.04.2017;Sentrumsløpet;10;0.46.48;47; 4,7 
21.04.2018;Sentrumsløpet;10;0.45.47;46; 4,6 
20.10.2018;Hytteplanmila;10;0.43.39;43; 4,3 
02.02.2019;Oslo Winterrun;10;0.53.32;53; 5,3 
22.09.2019;10 for Grete;10;0.49.44;50; 5,0 
05.09.2015;Nordmarkstravern;15;1.28.54;89; 5,9 
21.05.2016;EcoTrail Oslo;18;1.35.44;96; 5,3 
13.06.2006;Birkebeinerløpet;21,1;1.58.31;119; 5,6 
07.09.2013;Trondheim maraton;21,1;1.47.17;107; 5,1 
14.06.2014;Birkebeinerløpet;21,1;1.53.29;113; 5,4 
19.09.2015;Oslo Halvmaraton;21,1;1.44.27;104; 4,9 
16.06.2018;Nordmarka Skogsmaraton;21,1;1.55.59;116; 5,5 
15.09.2018;Oslo Halvmaraton;21,1;1.42.33;103; 4,9 
20.09.2014;Oslo Maraton;42,2;4.18.55;259; 6,1 
03.10.2015;Midt i Mjøsa Maraton;42,2;4.55.26;295;6,9