;Hours;Oslo
17.03.2020;14 - 15;86,59
17.03.2020;15 - 16;85,33
17.03.2020;16 - 17;86,13
17.03.2020;17 - 18;86,59
17.03.2020;18 - 19;88,31
17.03.2020;19 - 20;88,31
17.03.2020;20 - 21;87,28
17.03.2020;21 - 22;85,79
17.03.2020;22 - 23;81,32
17.03.2020;23 - 00;73,99
18.03.2020;00 - 01;68,96
18.03.2020;01 - 02;64,71
18.03.2020;02 - 03;62,76
18.03.2020;03 - 04;64,83
18.03.2020;04 - 05;67,35
18.03.2020;05 - 06;74,01
18.03.2020;06 - 07;81,69
18.03.2020;07 - 08;83,3
18.03.2020;08 - 09;83,65
18.03.2020;09 - 10;83,07
18.03.2020;10 - 11;82,27
18.03.2020;11 - 12;81,69
18.03.2020;12 - 13;82,04
18.03.2020;13 - 14;81,81
18.03.2020;14 - 15;81,81
18.03.2020;15 - 16;81,81
18.03.2020;16 - 17;82,15
18.03.2020;17 - 18;82,61
18.03.2020;18 - 19;83,3
18.03.2020;19 - 20;83,87
18.03.2020;20 - 21;85,94
18.03.2020;21 - 22;85,25
18.03.2020;22 - 23;83,07
18.03.2020;23 - 00;80,89
19.03.2020;00 - 01;75,62
19.03.2020;01 - 02;72,73
19.03.2020;02 - 03;72,38
19.03.2020;03 - 04;73,66
19.03.2020;04 - 05;76,78
19.03.2020;05 - 06;80,36
19.03.2020;06 - 07;83,6
19.03.2020;07 - 08;85,22
19.03.2020;08 - 09;85,57
19.03.2020;09 - 10;83,83
19.03.2020;10 - 11;82,79
19.03.2020;11 - 12;81,63
19.03.2020;12 - 13;81,29
19.03.2020;13 - 14;80,94
19.03.2020;14 - 15;80,83
19.03.2020;15 - 16;81,17
19.03.2020;16 - 17;81,98
19.03.2020;17 - 18;82,68
19.03.2020;18 - 19;83,25
19.03.2020;19 - 20;84,29
19.03.2020;20 - 21;84,41
19.03.2020;21 - 22;84,64
19.03.2020;22 - 23;83,6
19.03.2020;23 - 00;80,83
20.03.2020;00 - 01;86,77
20.03.2020;01 - 02;86,03
20.03.2020;02 - 03;86,15
20.03.2020;03 - 04;86,89
20.03.2020;04 - 05;88,25
20.03.2020;05 - 06;92,08
20.03.2020;06 - 07;99,24
20.03.2020;07 - 08;101,46
20.03.2020;08 - 09;104,05
20.03.2020;09 - 10;102,08
20.03.2020;10 - 11;99,85
20.03.2020;11 - 12;96,4
20.03.2020;12 - 13;93,19
20.03.2020;13 - 14;91,59
20.03.2020;14 - 15;91,09
20.03.2020;15 - 16;90,1
20.03.2020;16 - 17;90,35
20.03.2020;17 - 18;91,46
20.03.2020;18 - 19;94,55
20.03.2020;19 - 20;96,89
20.03.2020;20 - 21;96,28
20.03.2020;21 - 22;93,31
20.03.2020;22 - 23;91,59
20.03.2020;23 - 00;88,38
21.03.2020;00 - 01;90,44
21.03.2020;01 - 02;89,25
21.03.2020;02 - 03;88,9
21.03.2020;03 - 04;89,13
21.03.2020;04 - 05;89,96
21.03.2020;05 - 06;89,73
21.03.2020;06 - 07;88,78
21.03.2020;07 - 08;91,51
21.03.2020;08 - 09;94,47
21.03.2020;09 - 10;96,25
21.03.2020;10 - 11;89,02
21.03.2020;11 - 12;85,1
21.03.2020;12 - 13;84,51
21.03.2020;13 - 14;79,65
21.03.2020;14 - 15;77,99
21.03.2020;15 - 16;80,36
21.03.2020;16 - 17;88,54
21.03.2020;17 - 18;93,88
21.03.2020;18 - 19;94,71
21.03.2020;19 - 20;96,84
21.03.2020;20 - 21;95,54
21.03.2020;21 - 22;93,99
21.03.2020;22 - 23;92,33
21.03.2020;23 - 00;90,79
22.03.2020;00 - 01;94,85
22.03.2020;01 - 02;94,85
22.03.2020;02 - 03;89,55
22.03.2020;03 - 04;80,83
22.03.2020;04 - 05;76,92
22.03.2020;05 - 06;78,81
22.03.2020;06 - 07;76,54
22.03.2020;07 - 08;73,51
22.03.2020;08 - 09;77,93
22.03.2020;09 - 10;78,56
22.03.2020;10 - 11;75,27
22.03.2020;11 - 12;73,76
22.03.2020;12 - 13;72,37
22.03.2020;13 - 14;70,85
22.03.2020;14 - 15;70,22
22.03.2020;15 - 16;72,24
22.03.2020;16 - 17;77,42
22.03.2020;17 - 18;90,05
22.03.2020;18 - 19;100,41
22.03.2020;19 - 20;101,29
22.03.2020;20 - 21;100,41
22.03.2020;21 - 22;98,64
22.03.2020;22 - 23;94,85
22.03.2020;23 - 00;90,56
23.03.2020;00 - 01;88,16
23.03.2020;01 - 02;85,51
23.03.2020;02 - 03;85,51
23.03.2020;03 - 04;87,78
23.03.2020;04 - 05;90,43
23.03.2020;05 - 06;94,73
23.03.2020;06 - 07;98,89
23.03.2020;07 - 08;102,43
23.03.2020;08 - 09;104,2
23.03.2020;09 - 10;104,2
23.03.2020;10 - 11;102,68
23.03.2020;11 - 12;101,04
23.03.2020;12 - 13;99,65
23.03.2020;13 - 14;98,51
23.03.2020;14 - 15;97,88
23.03.2020;15 - 16;96,75
23.03.2020;16 - 17;96,75
23.03.2020;17 - 18;98,39
23.03.2020;18 - 19;99,15
23.03.2020;19 - 20;99,9
23.03.2020;20 - 21;101,04
23.03.2020;21 - 22;96,11
23.03.2020;22 - 23;90,43
23.03.2020;23 - 00;85,25
24.03.2020;00 - 01;75,7
24.03.2020;01 - 02;72,99
24.03.2020;02 - 03;71,15
24.03.2020;03 - 04;72,01
24.03.2020;04 - 05;75,57
24.03.2020;05 - 06;81,6
24.03.2020;06 - 07;89,95
24.03.2020;07 - 08;97,69
24.03.2020;08 - 09;97,69
24.03.2020;09 - 10;93,39
24.03.2020;10 - 11;89,83
24.03.2020;11 - 12;87
24.03.2020;12 - 13;85,41
24.03.2020;13 - 14;84,05
24.03.2020;14 - 15;84,05
24.03.2020;15 - 16;84,42
24.03.2020;16 - 17;86,02
24.03.2020;17 - 18;89,71
24.03.2020;18 - 19;93,27
24.03.2020;19 - 20;94,25
24.03.2020;20 - 21;90,81
24.03.2020;21 - 22;86,02
24.03.2020;22 - 23;80,37
24.03.2020;23 - 00;73,36
25.03.2020;00 - 01;69,04
25.03.2020;01 - 02;65,93
25.03.2020;02 - 03;63,53
25.03.2020;03 - 04;65,45
25.03.2020;04 - 05;68,8
25.03.2020;05 - 06;72,99
25.03.2020;06 - 07;80,05
25.03.2020;07 - 08;88,06
25.03.2020;08 - 09;89,02
25.03.2020;09 - 10;87,94
25.03.2020;10 - 11;85,55
25.03.2020;11 - 12;83,16
25.03.2020;12 - 13;81,48
25.03.2020;13 - 14;80,29
25.03.2020;14 - 15;80,05
25.03.2020;15 - 16;80,29
25.03.2020;16 - 17;81,6
25.03.2020;17 - 18;84,35
25.03.2020;18 - 19;88,42
25.03.2020;19 - 20;89,14
25.03.2020;20 - 21;84,95
25.03.2020;21 - 22;82,8
25.03.2020;22 - 23;80,52
25.03.2020;23 - 00;77,17
26.03.2020;00 - 01;72,38
26.03.2020;01 - 02;72,85
26.03.2020;02 - 03;73,44
26.03.2020;03 - 04;74,73
26.03.2020;04 - 05;76,14
26.03.2020;05 - 06;77,44
26.03.2020;06 - 07;80,73
26.03.2020;07 - 08;83,91
26.03.2020;08 - 09;83,32
26.03.2020;09 - 10;81,91
26.03.2020;10 - 11;81,09
26.03.2020;11 - 12;79,79
26.03.2020;12 - 13;78,73
26.03.2020;13 - 14;77,44
26.03.2020;14 - 15;76,61
26.03.2020;15 - 16;76,97
26.03.2020;16 - 17;77,67
26.03.2020;17 - 18;80,03
26.03.2020;18 - 19;81,79
26.03.2020;19 - 20;82,26
26.03.2020;20 - 21;83,21
26.03.2020;21 - 22;81,68
26.03.2020;22 - 23;77,56
26.03.2020;23 - 00;73,91
27.03.2020;00 - 01;67,99
27.03.2020;01 - 02;66,25
27.03.2020;02 - 03;66,02
27.03.2020;03 - 04;66,95
27.03.2020;04 - 05;68,92
27.03.2020;05 - 06;71,25
27.03.2020;06 - 07;74,74
27.03.2020;07 - 08;79,62
27.03.2020;08 - 09;80,43
27.03.2020;09 - 10;78,34
27.03.2020;10 - 11;76,36
27.03.2020;11 - 12;75,55
27.03.2020;12 - 13;74,5
27.03.2020;13 - 14;72,76
27.03.2020;14 - 15;71,37
27.03.2020;15 - 16;70,55
27.03.2020;16 - 17;70,67
27.03.2020;17 - 18;71,37
27.03.2020;18 - 19;72,41
27.03.2020;19 - 20;73,11
27.03.2020;20 - 21;72,18
27.03.2020;21 - 22;70,2
27.03.2020;22 - 23;67,3
27.03.2020;23 - 00;64,97
28.03.2020;00 - 01;64,12
28.03.2020;01 - 02;62,49
28.03.2020;02 - 03;61,68
28.03.2020;03 - 04;61,68
28.03.2020;04 - 05;62,37
28.03.2020;05 - 06;62,61
28.03.2020;06 - 07;63,65
28.03.2020;07 - 08;65,63
28.03.2020;08 - 09;68,43
28.03.2020;09 - 10;68,66
28.03.2020;10 - 11;66,56
28.03.2020;11 - 12;61,79
28.03.2020;12 - 13;58,07
28.03.2020;13 - 14;47,71
28.03.2020;14 - 15;46,2
28.03.2020;15 - 16;49,11
28.03.2020;16 - 17;58,77
28.03.2020;17 - 18;64,59
28.03.2020;18 - 19;67,73
28.03.2020;19 - 20;67,03
28.03.2020;20 - 21;63,42
28.03.2020;21 - 22;60,51
28.03.2020;22 - 23;58,88
28.03.2020;23 - 00;57,14
29.03.2020;00 - 01;53,31
29.03.2020;01 - 02;52,14
29.03.2020;02 - 03;
29.03.2020;03 - 04;48,26
29.03.2020;04 - 05;43,21
29.03.2020;05 - 06;40,75
29.03.2020;06 - 07;44,39
29.03.2020;07 - 08;46,5
29.03.2020;08 - 09;51,2
29.03.2020;09 - 10;55,07
29.03.2020;10 - 11;56,6
29.03.2020;11 - 12;57,3
29.03.2020;12 - 13;56,83
29.03.2020;13 - 14;57,77
29.03.2020;14 - 15;57,07
29.03.2020;15 - 16;57,77
29.03.2020;16 - 17;58,6
29.03.2020;17 - 18;60,24
29.03.2020;18 - 19;64,82
29.03.2020;19 - 20;73,98
29.03.2020;20 - 21;77,27
29.03.2020;21 - 22;75,5
29.03.2020;22 - 23;73,39
29.03.2020;23 - 00;68,81
30.03.2020;00 - 01;64,82
30.03.2020;01 - 02;64,58
30.03.2020;02 - 03;64,58
30.03.2020;03 - 04;64,94
30.03.2020;04 - 05;65,17
30.03.2020;05 - 06;67,87
30.03.2020;06 - 07;72,45
30.03.2020;07 - 08;79,73
30.03.2020;08 - 09;88,54
30.03.2020;09 - 10;90,89
30.03.2020;10 - 11;88,54
30.03.2020;11 - 12;79,38
30.03.2020;12 - 13;77,03
30.03.2020;13 - 14;74,68
30.03.2020;14 - 15;72,1
30.03.2020;15 - 16;72,57
30.03.2020;16 - 17;74,33
30.03.2020;17 - 18;76,44
30.03.2020;18 - 19;79,61
30.03.2020;19 - 20;80,2
30.03.2020;20 - 21;83,84
30.03.2020;21 - 22;80,08
30.03.2020;22 - 23;72,33
30.03.2020;23 - 00;67,64
31.03.2020;00 - 01;63,52
31.03.2020;01 - 02;61,76
31.03.2020;02 - 03;60,35
31.03.2020;03 - 04;59,77
31.03.2020;04 - 05;60,47
31.03.2020;05 - 06;61,88
31.03.2020;06 - 07;63,41
31.03.2020;07 - 08;69,98
31.03.2020;08 - 09;77,97
31.03.2020;09 - 10;69,86
31.03.2020;10 - 11;64,82
31.03.2020;11 - 12;62,94
31.03.2020;12 - 13;62,47
31.03.2020;13 - 14;60,71
31.03.2020;14 - 15;58,59
31.03.2020;15 - 16;57,77
31.03.2020;16 - 17;57,42
31.03.2020;17 - 18;58,01
31.03.2020;18 - 19;58,48
31.03.2020;19 - 20;59,18
31.03.2020;20 - 21;60
31.03.2020;21 - 22;58,83
31.03.2020;22 - 23;56,71
31.03.2020;23 - 00;53,66
01.04.2020;00 - 01;48,69
01.04.2020;01 - 02;48,92
01.04.2020;02 - 03;49,38
01.04.2020;03 - 04;50,52
01.04.2020;04 - 05;51,9
01.04.2020;05 - 06;54,07
01.04.2020;06 - 07;56,82
01.04.2020;07 - 08;61,29
01.04.2020;08 - 09;63,7
01.04.2020;09 - 10;63,81
01.04.2020;10 - 11;62,55
01.04.2020;11 - 12;60,83
01.04.2020;12 - 13;60,03
01.04.2020;13 - 14;59,34
01.04.2020;14 - 15;59
01.04.2020;15 - 16;58,31
01.04.2020;16 - 17;57,05
01.04.2020;17 - 18;57,17
01.04.2020;18 - 19;58,31
01.04.2020;19 - 20;58,77
01.04.2020;20 - 21;58,65
01.04.2020;21 - 22;56,71
01.04.2020;22 - 23;54,42
01.04.2020;23 - 00;51,78
02.04.2020;00 - 01;48,15
02.04.2020;01 - 02;47,24
02.04.2020;02 - 03;47,24
02.04.2020;03 - 04;48,27
02.04.2020;04 - 05;49,86
02.04.2020;05 - 06;51,91
02.04.2020;06 - 07;54,64
02.04.2020;07 - 08;57,6
02.04.2020;08 - 09;57,94
02.04.2020;09 - 10;56,46
02.04.2020;10 - 11;55,21
02.04.2020;11 - 12;53,73
02.04.2020;12 - 13;53,05
02.04.2020;13 - 14;52,48
02.04.2020;14 - 15;51,57
02.04.2020;15 - 16;51,34
02.04.2020;16 - 17;51,46
02.04.2020;17 - 18;51,91
02.04.2020;18 - 19;52,14
02.04.2020;19 - 20;52,59
02.04.2020;20 - 21;52,82
02.04.2020;21 - 22;52,02
02.04.2020;22 - 23;50,66
02.04.2020;23 - 00;47,7
03.04.2020;00 - 01;38,43
03.04.2020;01 - 02;37,65
03.04.2020;02 - 03;37,42
03.04.2020;03 - 04;37,87
03.04.2020;04 - 05;38,88
03.04.2020;05 - 06;41,93
03.04.2020;06 - 07;45,31
03.04.2020;07 - 08;49,25
03.04.2020;08 - 09;50,72
03.04.2020;09 - 10;49,71
03.04.2020;10 - 11;48,47
03.04.2020;11 - 12;47,45
03.04.2020;12 - 13;46,55
03.04.2020;13 - 14;45,87
03.04.2020;14 - 15;44,97
03.04.2020;15 - 16;44,07
03.04.2020;16 - 17;44,97
03.04.2020;17 - 18;46,66
03.04.2020;18 - 19;48,69
03.04.2020;19 - 20;50,49
03.04.2020;20 - 21;51,28
03.04.2020;21 - 22;50,49
03.04.2020;22 - 23;49,71
03.04.2020;23 - 00;48,35
04.04.2020;00 - 01;49,86
04.04.2020;01 - 02;49,74
04.04.2020;02 - 03;49,41
04.04.2020;03 - 04;49,63
04.04.2020;04 - 05;50,2
04.04.2020;05 - 06;50,87
04.04.2020;06 - 07;51,44
04.04.2020;07 - 08;52,56
04.04.2020;08 - 09;53,47
04.04.2020;09 - 10;53,35
04.04.2020;10 - 11;53,13
04.04.2020;11 - 12;52,23
04.04.2020;12 - 13;51,1
04.04.2020;13 - 14;49,86
04.04.2020;14 - 15;48,96
04.04.2020;15 - 16;48,62
04.04.2020;16 - 17;49,41
04.04.2020;17 - 18;50,99
04.04.2020;18 - 19;51,89
04.04.2020;19 - 20;52,23
04.04.2020;20 - 21;52
04.04.2020;21 - 22;51,44
04.04.2020;22 - 23;51,1
04.04.2020;23 - 00;50,53
05.04.2020;00 - 01;52,88
05.04.2020;01 - 02;52,42
05.04.2020;02 - 03;52,08
05.04.2020;03 - 04;51,97
05.04.2020;04 - 05;51,97
05.04.2020;05 - 06;52,08
05.04.2020;06 - 07;51,97
05.04.2020;07 - 08;52,31
05.04.2020;08 - 09;52,88
05.04.2020;09 - 10;51,62
05.04.2020;10 - 11;48,44
05.04.2020;11 - 12;43,78
05.04.2020;12 - 13;40,59
05.04.2020;13 - 14;39,91
05.04.2020;14 - 15;39,91
05.04.2020;15 - 16;41,85
05.04.2020;16 - 17;44,57
05.04.2020;17 - 18;49,69
05.04.2020;18 - 19;52,88
05.04.2020;19 - 20;53,22
05.04.2020;20 - 21;52,99
05.04.2020;21 - 22;52,31
05.04.2020;22 - 23;51,74
05.04.2020;23 - 00;49,24
06.04.2020;00 - 01;46,96
06.04.2020;01 - 02;45,37
06.04.2020;02 - 03;45,94
06.04.2020;03 - 04;42,07
06.04.2020;04 - 05;41,62
06.04.2020;05 - 06;49,69
06.04.2020;06 - 07;53,1
06.04.2020;07 - 08;53,9
06.04.2020;08 - 09;54,92
06.04.2020;09 - 10;54,47
06.04.2020;10 - 11;53,78
06.04.2020;11 - 12;52,42
06.04.2020;12 - 13;51,85
06.04.2020;13 - 14;51,51
06.04.2020;14 - 15;50,37
06.04.2020;15 - 16;49,58
06.04.2020;16 - 17;49,24
06.04.2020;17 - 18;49,92
06.04.2020;18 - 19;50,03
06.04.2020;19 - 20;50,37
06.04.2020;20 - 21;50,94
06.04.2020;21 - 22;50,71
06.04.2020;22 - 23;48,67
06.04.2020;23 - 00;46,05
07.04.2020;00 - 01;43,72
07.04.2020;01 - 02;43,04
07.04.2020;02 - 03;42,81
07.04.2020;03 - 04;44,06
07.04.2020;04 - 05;45,42
07.04.2020;05 - 06;47,92
07.04.2020;06 - 07;53,49
07.04.2020;07 - 08;54,17
07.04.2020;08 - 09;55,19
07.04.2020;09 - 10;54,85
07.04.2020;10 - 11;54,05
07.04.2020;11 - 12;53,03
07.04.2020;12 - 13;52,58
07.04.2020;13 - 14;52,01
07.04.2020;14 - 15;51,56
07.04.2020;15 - 16;51,56
07.04.2020;16 - 17;51,56
07.04.2020;17 - 18;50,31
07.04.2020;18 - 19;51,33
07.04.2020;19 - 20;52,24
07.04.2020;20 - 21;52,58
07.04.2020;21 - 22;51,67
07.04.2020;22 - 23;50,99
07.04.2020;23 - 00;47,35
08.04.2020;00 - 01;48,7
08.04.2020;01 - 02;47,25
08.04.2020;02 - 03;46,58
08.04.2020;03 - 04;46,7
08.04.2020;04 - 05;47,7
08.04.2020;05 - 06;50,25
08.04.2020;06 - 07;53,03
08.04.2020;07 - 08;54,37
08.04.2020;08 - 09;55,15
08.04.2020;09 - 10;54,81
08.04.2020;10 - 11;54,59
08.04.2020;11 - 12;53,81
08.04.2020;12 - 13;53,03
08.04.2020;13 - 14;51,7
08.04.2020;14 - 15;50,92
08.04.2020;15 - 16;50,25
08.04.2020;16 - 17;50,03
08.04.2020;17 - 18;50,14
08.04.2020;18 - 19;50,03
08.04.2020;19 - 20;50,7
08.04.2020;20 - 21;51,25
08.04.2020;21 - 22;50,36
08.04.2020;22 - 23;48,36
08.04.2020;23 - 00;45,58
09.04.2020;00 - 01;47,71
09.04.2020;01 - 02;46,82
09.04.2020;02 - 03;46,37
09.04.2020;03 - 04;46,82
09.04.2020;04 - 05;48,39
09.04.2020;05 - 06;51,53
09.04.2020;06 - 07;53,55
09.04.2020;07 - 08;54,45
09.04.2020;08 - 09;54,9
09.04.2020;09 - 10;54,68
09.04.2020;10 - 11;54,56
09.04.2020;11 - 12;52,99
09.04.2020;12 - 13;52,09
09.04.2020;13 - 14;51,31
09.04.2020;14 - 15;50,52
09.04.2020;15 - 16;49,85
09.04.2020;16 - 17;50,41
09.04.2020;17 - 18;52,54
09.04.2020;18 - 19;53,33
09.04.2020;19 - 20;54,11
09.04.2020;20 - 21;54,9
09.04.2020;21 - 22;55,24
09.04.2020;22 - 23;55,46
09.04.2020;23 - 00;53,44
10.04.2020;00 - 01;53,13
10.04.2020;01 - 02;52,68
10.04.2020;02 - 03;52,68
10.04.2020;03 - 04;53,35
10.04.2020;04 - 05;54,13
10.04.2020;05 - 06;55,02
10.04.2020;06 - 07;55,02
10.04.2020;07 - 08;55,46
10.04.2020;08 - 09;56,02
10.04.2020;09 - 10;56,13
10.04.2020;10 - 11;56,13
10.04.2020;11 - 12;55,69
10.04.2020;12 - 13;55,46
10.04.2020;13 - 14;55,13
10.04.2020;14 - 15;54,91
10.04.2020;15 - 16;54,91
10.04.2020;16 - 17;54,8
10.04.2020;17 - 18;55,02
10.04.2020;18 - 19;55,13
10.04.2020;19 - 20;55,46
10.04.2020;20 - 21;55,91
10.04.2020;21 - 22;55,91
10.04.2020;22 - 23;55,8
10.04.2020;23 - 00;55,24
11.04.2020;00 - 01;55,24
11.04.2020;01 - 02;54,91
11.04.2020;02 - 03;54,8
11.04.2020;03 - 04;54,91
11.04.2020;04 - 05;55,13
11.04.2020;05 - 06;55,57
11.04.2020;06 - 07;55,35
11.04.2020;07 - 08;55,57
11.04.2020;08 - 09;55,91
11.04.2020;09 - 10;55,69
11.04.2020;10 - 11;55,8
11.04.2020;11 - 12;55,46
11.04.2020;12 - 13;55,24
11.04.2020;13 - 14;55,02
11.04.2020;14 - 15;54,8
11.04.2020;15 - 16;54,8
11.04.2020;16 - 17;55,02
11.04.2020;17 - 18;55,35
11.04.2020;18 - 19;56,02
11.04.2020;19 - 20;55,57
11.04.2020;20 - 21;55,91
11.04.2020;21 - 22;54,8
11.04.2020;22 - 23;52,8
11.04.2020;23 - 00;51,13
12.04.2020;00 - 01;48,91
12.04.2020;01 - 02;47,02
12.04.2020;02 - 03;45,68
12.04.2020;03 - 04;45,79
12.04.2020;04 - 05;46,46
12.04.2020;05 - 06;46,9
12.04.2020;06 - 07;46,46
12.04.2020;07 - 08;47,24
12.04.2020;08 - 09;49,79
12.04.2020;09 - 10;50,91
12.04.2020;10 - 11;49,79
12.04.2020;11 - 12;46,68
12.04.2020;12 - 13;42,24
12.04.2020;13 - 14;33,01
12.04.2020;14 - 15;24,01
12.04.2020;15 - 16;24,67
12.04.2020;16 - 17;33,34
12.04.2020;17 - 18;40,79
12.04.2020;18 - 19;44,79
12.04.2020;19 - 20;45,57
12.04.2020;20 - 21;46,79
12.04.2020;21 - 22;47,79
12.04.2020;22 - 23;42,46
12.04.2020;23 - 00;38,12
